learning_rate,warmup_ratio,rank,alpha,dropout,target_modules,trial_id,generation,accuracy,trainable_params
0.00013149109170699792,0.0,4,16,0.1,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']",1,0,0.798,853254
0.00017951411786392064,0.0,8,8,0.0,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']",2,0,0.8225,1111302
1.504183423993409e-05,0.0,16,32,0.0,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']",3,0,0.549,1627398
0.00016379178676878707,0.0,24,64,0.05,"['q_lin', 'v_lin']",4,0,0.813,1037574
0.00019187048371928844,0.06,2,8,0.2,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']",5,0,0.8225,724230
0.00016335437192213225,0.1,8,96,0.05,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']",6,0,0.8975,1111302
0.00016758688620806904,0.06,24,32,0.1,"['q_lin', 'v_lin']",7,0,0.796,1037574
5.3300672373793904e-05,0.0,2,16,0.0,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']",8,0,0.677,724230
0.00013078004441023606,0.06,4,16,0.05,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']",9,0,0.807,853254
0.00013312672319685278,0.06,2,64,0.0,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']",10,0,0.86,724230
0.00019800943662095312,0.06,8,64,0.2,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']",11,0,0.887,1111302
5.351913367317983e-05,0.0,4,16,0.0,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']",12,0,0.669,853254
0.00017650984902980709,0.0,16,16,0.2,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']",13,0,0.8375,1627398
6.032723163462997e-05,0.0,8,16,0.1,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']",14,0,0.6895,1111302
8.588609597667548e-05,0.0,24,32,0.0,"['q_lin', 'v_lin']",15,0,0.6965,1037574
3.083333476662524e-05,0.06,16,32,0.0,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']",16,0,0.651,1627398
0.0001992630622456184,0.06,24,96,0.0,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']",17,0,0.89,2143494
0.00013952497011504922,0.06,4,64,0.0,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']",18,0,0.862,853254
9.620750420254923e-05,0.1,24,16,0.05,"['q_lin', 'v_lin']",19,0,0.708,1037574
0.0001833992894755159,0.1,4,64,0.1,"['q_lin', 'v_lin']",20,0,0.8215,668934
0.0001992630622456184,0.06,4,64,0.0,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']",21,1,0.886,853254
0.00013952497011504922,0.06,24,96,0.0,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']",22,1,0.8805,2143494
8.588609597667548e-05,0.0,24,32,0.0,"['q_lin', 'v_lin']",23,1,0.7285,1037574
0.0001992630622456184,0.06,24,96,0.0,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']",24,1,0.889,2143494
5.351913367317983e-05,0.0,2,16,0.0,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']",25,1,0.6675,724230
5.3300672373793904e-05,0.0,4,16,0.0,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']",26,1,0.6895,853254
0.00019187048371928844,0.06,2,8,0.2,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']",27,1,0.8195,724230
1e-05,0.06,2,64,0.0,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']",28,1,0.525,724230
0.00017951411786392064,0.06,4,8,0.0,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']",29,1,0.808,853254
