generation,trial_id,accuracy,learning_rate,warmup_ratio,rank,alpha,dropout,target_modules
1,1,0.742,8.116262258099887e-05,0.0,8,96,0.0,"['q_lin', 'v_lin']"
1,2,0.728,9.470822304218231e-05,0.1,8,32,0.2,"['q_lin', 'v_lin']"
1,3,0.811,0.0001242118522312097,0.1,24,16,0.2,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']"
1,4,0.8975,0.00018832501471299255,0.06,16,96,0.0,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']"
1,5,0.697,0.00012621410049277337,0.0,16,8,0.0,"['q_lin', 'v_lin']"
1,6,0.793,0.00012625204999725212,0.06,16,64,0.2,"['q_lin', 'v_lin']"
1,7,0.8195,9.665329700123683e-05,0.1,8,64,0.1,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']"
1,8,0.7725,0.00012255876808378807,0.1,24,32,0.1,"['q_lin', 'v_lin']"
1,9,0.733,9.559485787421317e-05,0.06,16,8,0.2,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']"
1,10,0.8805,0.00016359549614212762,0.0,4,96,0.05,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']"
1,11,0.7055,5.5794838544942225e-05,0.1,16,96,0.2,"['q_lin', 'v_lin']"
1,12,0.641,4.2939284166476696e-05,0.0,16,16,0.2,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']"
1,13,0.6985,6.922510445698809e-05,0.06,4,64,0.05,"['q_lin', 'v_lin']"
1,14,0.8585,0.00019422107927526613,0.06,16,16,0.05,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']"
1,15,0.8285,0.0001860651845008209,0.1,16,8,0.05,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']"
1,16,0.887,0.00017046143124884879,0.0,4,96,0.2,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']"
1,17,0.8235,0.00019339850838018624,0.0,2,96,0.1,"['q_lin', 'v_lin']"
1,18,0.5365,2.4164622299156458e-05,0.1,2,8,0.2,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']"
1,19,0.3935,1.1049202253484457e-05,0.1,8,8,0.2,"['q_lin', 'v_lin']"
1,20,0.839,0.00016013335270092908,0.1,24,16,0.1,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']"
2,21,0.8895,0.00018832501471299255,0.06,16,96,0.0,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']"
2,22,0.782,0.00011010136134646426,0.0,16,96,0.0,"['q_lin', 'v_lin']"
2,23,0.805,0.00012540659322195368,0.0,16,96,0.0,"['q_lin', 'v_lin']"
2,24,0.8535,0.0002264514624441982,0.0,16,96,0.0,"['q_lin', 'v_lin']"
2,25,0.802,0.00012282368989054062,0.0,24,96,0.0,"['q_lin', 'v_lin']"
2,26,0.852,0.00022506664176735012,0.0,8,96,0.0,"['q_lin', 'v_lin']"
2,27,0.7725,9.503924813145e-05,0.0,24,96,0.0,"['q_lin', 'v_lin']"
2,28,0.834,0.00019339850838018624,0.0,8,96,0.0,"['q_lin', 'v_lin']"
2,29,0.7945,0.00013059968297191802,0.0,8,96,0.0,"['q_lin', 'v_lin']"
2,30,0.841,0.0001877156543021339,0.1,8,96,0.0,"['q_lin', 'v_lin']"
2,31,0.8885,0.00015393946313334045,0.0,16,96,0.0,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']"
